## take reference from DESI's, modified for JUST
# Echo 22 focal plane parameters calculated from model in DESI-4037v6.							
# The plate scale varies with radius, and is different in the							
# meridional (radial) direction vs. the							
# sagittal (tangential/azimuthal) direction.  The table below							
# contains the F/#, Focal Length, and Plate Scale vs. radius for							
# both the meridional and sagittal orientations at that radius.							
							
# Columns:							
# - Radius : radius from center of focal plane [mm]							
# - Theta radial angle that has a centroid at this radius [deg]							
# - MF/# : Meridional F/#							
# - SF/# : Sagittal F/#							
# - MFL  : Meridional focal length [m]							
# - SFL  : Sagittal focal length [m]							
# - MPS  : Meridional plate scale [um/arcsec]							
# - SPS  : Sagittal plate scale [um/arcsec]							
# Radius	Theta	MF/#	SF/#	MFL	SFL	MPS	SPS
0.000000000    0.000000000    5.506753469    5.506821409    26.432416653    26.432742765    128.147851808    128.149432842
0.955314420    0.002070753    5.506757408    5.506807392    26.432435559    26.432675482    128.147943467    128.149106644
1.910630305    0.004141518    5.506763488    5.506795582    26.432464744    26.432618794    128.148084959    128.148831815
2.865949120    0.006212295    5.506771712    5.506785981    26.432504216    26.432572707    128.148276327    128.148608376
3.821272338    0.008283086    5.506782080    5.506778588    26.432553986    26.432537224    128.148517614    128.148436350
4.776601420    0.010353891    5.506794596    5.506773406    26.432614060    26.432512350    128.148808864    128.148315759
5.731937835    0.012424711    5.506809260    5.506770435    26.432684450    26.432498090    128.149150122    128.148246626
6.687283045    0.014495547    5.506826076    5.506769677    26.432765163    26.432494450    128.149541430    128.148228975
7.642638523    0.016566398    5.506845044    5.506771132    26.432856209    26.432501432    128.149982835    128.148262829
8.598005733    0.018637267    5.506866166    5.506774801    26.432957598    26.432519044    128.150474379    128.148348211
9.553386138    0.020708152    5.506889445    5.506780685    26.433069338    26.432547289    128.151016110    128.148485146
10.508781208    0.022779057    5.506914883    5.506788786    26.433191439    26.432586172    128.151608072    128.148673659
11.464192410    0.024849980    5.506942481    5.506799104    26.433323910    26.432635699    128.152250311    128.148913773
12.419621213    0.026920922    5.506972242    5.506811641    26.433466762    26.432695876    128.152942872    128.149205515
13.375069078    0.028991885    5.507004167    5.506826397    26.433620002    26.432766706    128.153685804    128.149548910
14.330537473    0.031062868    5.507038259    5.506843374    26.433783642    26.432848196    128.154479151    128.149943983
15.286027868    0.033133874    5.507074519    5.506862573    26.433957691    26.432940350    128.155322962    128.150390761
16.241541725    0.035204901    5.507112950    5.506883995    26.434142158    26.433043175    128.156217284    128.150889270
17.197080518    0.037275951    5.507153553    5.506907641    26.434337054    26.433156676    128.157162164    128.151439537
18.152645710    0.039347025    5.507196331    5.506933512    26.434542388    26.433280858    128.158157650    128.152041588
19.108238768    0.041418123    5.507241285    5.506961610    26.434758170    26.433415727    128.159203791    128.152695451
20.063861158    0.043489246    5.507288419    5.506991935    26.434984410    26.433561289    128.160300635    128.153401154
21.019514350    0.045560394    5.507337733    5.507024489    26.435221119    26.433717549    128.161448231    128.154158725
21.975199813    0.047631569    5.507389231    5.507059274    26.435468307    26.433884514    128.162646628    128.154968192
22.930919013    0.049702770    5.507442913    5.507096289    26.435725983    26.434062189    128.163895877    128.155829584
23.886673410    0.051773999    5.507498783    5.507135538    26.435994158    26.434250580    128.165196027    128.156742930
